Gene,BA11.R2,BA11.Peak,BA11.Pval,BA11.qval,BA47.R2,BA47.Peak,BA47.Pval,BA47.qval,Diff.Peak,Avg.R2,Combined.Pval,Combined.qval,BA11.weight,BA47.weight,Both.weight,Age.genes,Sex.genes
MARCH7,0.06,1.65,9.30E-03,2.38E-01,0.08,-0.15,2.70E-03,2.45E-01,1.80,0.07,2.92E-04,2.93E-02,1,1,2,0,0
ANKMY2,0.08,3.02,3.13E-03,1.71E-01,0.06,1.99,8.16E-03,3.64E-01,1.03,0.07,2.97E-04,2.96E-02,1,1,2,0,0
GALNT2,0.02,-6.00,2.45E-01,6.64E-01,0.12,16.21,1.05E-04,6.38E-02,1.79,0.07,1.05E-04,1.68E-02,0,1,1,0,0
SRRM4,0.05,8.26,3.55E-02,3.66E-01,0.10,9.26,7.49E-04,1.44E-01,1.00,0.07,3.08E-04,3.02E-02,1,1,2,0,0
PPFIA4,0.08,5.58,3.22E-03,1.73E-01,0.06,7.93,8.49E-03,3.68E-01,2.35,0.07,3.16E-04,3.07E-02,1,1,2,1,0
DYNC2H1,0.06,2.94,1.56E-02,2.82E-01,0.08,1.66,1.75E-03,2.23E-01,1.28,0.07,3.17E-04,3.07E-02,1,1,2,1,0
HOXB6,0.14,14.54,2.74E-05,1.83E-02,0.00,5.06,9.93E-01,9.99E-01,9.49,0.07,2.66E-05,6.70E-03,1,0,1,0,0
GAL3ST4,0.07,-5.92,4.40E-03,1.91E-01,0.07,-6.47,6.37E-03,3.35E-01,0.55,0.07,3.23E-04,3.11E-02,1,1,2,1,0
VPS13B,0.08,2.62,2.00E-03,1.51E-01,0.06,-0.08,1.42E-02,4.35E-01,2.70,0.07,3.26E-04,3.13E-02,1,1,2,0,0
SLC7A5,0.07,-4.14,7.35E-03,2.18E-01,0.07,-6.46,3.96E-03,2.84E-01,2.32,0.07,3.34E-04,3.16E-02,1,1,2,0,0
SIGLECP3,0.09,12.94,1.30E-03,1.37E-01,0.05,10.80,2.25E-02,5.13E-01,2.14,0.07,3.35E-04,3.16E-02,1,1,2,0,0
HABP2,0.05,14.91,2.66E-02,3.37E-01,0.09,3.42,1.10E-03,1.77E-01,11.48,0.07,3.35E-04,3.16E-02,1,1,2,0,0
SQRDL,0.03,-3.99,1.10E-01,5.20E-01,0.11,-3.90,2.62E-04,8.27E-02,0.09,0.07,2.63E-04,2.84E-02,0,1,1,0,0
PRAMEF15,0.12,15.37,1.02E-04,3.83E-02,0.02,11.80,2.86E-01,8.79E-01,3.58,0.07,1.02E-04,1.67E-02,1,0,1,0,0
RHOH,0.12,15.99,7.29E-05,3.23E-02,0.01,10.47,4.08E-01,9.20E-01,5.53,0.07,7.26E-05,1.32E-02,1,0,1,0,0
JMY,0.06,2.71,1.16E-02,2.54E-01,0.08,1.56,2.63E-03,2.43E-01,1.14,0.07,3.49E-04,3.20E-02,1,1,2,1,0
DHRS9,0.11,-4.60,1.57E-04,5.14E-02,0.02,-2.51,1.99E-01,8.31E-01,2.09,0.07,1.58E-04,2.08E-02,1,0,1,1,0
EME2,0.13,12.54,4.96E-05,2.71E-02,0.01,12.46,6.34E-01,9.69E-01,0.08,0.07,4.89E-05,1.05E-02,1,0,1,0,0
CHD6,0.10,4.09,5.15E-04,9.10E-02,0.04,3.02,6.15E-02,6.66E-01,1.07,0.07,3.61E-04,3.27E-02,1,1,2,1,0
GLTSCR1,0.06,13.60,8.41E-03,2.31E-01,0.07,15.56,3.85E-03,2.84E-01,1.96,0.07,3.68E-04,3.32E-02,1,1,2,0,0
RBM26,0.09,5.26,1.30E-03,1.37E-01,0.05,1.79,2.52E-02,5.34E-01,3.47,0.07,3.71E-04,3.34E-02,1,1,2,0,0
ZNF488,0.06,14.08,1.56E-02,2.82E-01,0.08,14.82,2.18E-03,2.40E-01,0.74,0.07,3.84E-04,3.41E-02,1,1,2,0,0
SMPD3,0.06,13.69,1.18E-02,2.55E-01,0.08,14.16,2.94E-03,2.56E-01,0.46,0.07,3.92E-04,3.46E-02,1,1,2,1,0
GLE1,0.10,5.10,3.76E-04,8.02E-02,0.03,4.48,9.24E-02,7.23E-01,0.61,0.07,3.77E-04,3.36E-02,1,0,1,0,0
ATPBD4,0.04,0.19,4.70E-02,4.01E-01,0.09,1.30,7.62E-04,1.44E-01,1.11,0.07,4.04E-04,3.56E-02,1,1,2,0,0
EEA1,0.08,3.17,3.55E-03,1.80E-01,0.06,1.81,1.04E-02,3.97E-01,1.36,0.07,4.15E-04,3.60E-02,1,1,2,0,0
HR,0.07,13.14,3.72E-03,1.81E-01,0.06,11.94,1.00E-02,3.92E-01,1.20,0.07,4.20E-04,3.63E-02,1,1,2,0,0
PLXNA1,0.06,14.05,8.66E-03,2.32E-01,0.07,14.75,4.44E-03,2.92E-01,0.69,0.07,4.31E-04,3.68E-02,1,1,2,1,0
OMG,0.09,2.34,1.37E-03,1.38E-01,0.05,2.58,2.82E-02,5.55E-01,0.24,0.07,4.33E-04,3.68E-02,1,1,2,0,0
FBXL18,0.03,11.50,8.91E-02,4.87E-01,0.10,13.17,4.35E-04,1.10E-01,1.67,0.07,4.34E-04,3.68E-02,1,1,2,0,0
ZP1,0.11,14.28,3.38E-04,7.60E-02,0.03,6.27,1.13E-01,7.51E-01,8.01,0.07,3.39E-04,3.16E-02,1,0,1,0,0
PDE7A,0.05,2.03,1.79E-02,2.92E-01,0.08,-2.36,2.20E-03,2.40E-01,4.40,0.07,4.40E-04,3.71E-02,1,1,2,0,0
KCNG1,0.06,16.13,1.18E-02,2.55E-01,0.08,15.72,3.36E-03,2.68E-01,0.41,0.07,4.42E-04,3.71E-02,1,1,2,1,0
TTLL5,0.07,6.10,6.86E-03,2.13E-01,0.07,5.33,5.94E-03,3.30E-01,0.77,0.07,4.53E-04,3.75E-02,1,1,2,0,0
TACC1,0.07,4.74,5.78E-03,2.04E-01,0.07,1.71,7.08E-03,3.47E-01,3.03,0.07,4.56E-04,3.75E-02,1,1,2,0,0
TCEAL2,0.06,6.70,1.62E-02,2.84E-01,0.08,6.53,2.51E-03,2.43E-01,0.17,0.07,4.53E-04,3.75E-02,1,1,2,1,0
KIAA1310,0.05,0.71,2.51E-02,3.31E-01,0.09,0.45,1.64E-03,2.14E-01,0.26,0.07,4.59E-04,3.75E-02,1,1,2,0,0
ZNF107,0.07,-1.21,4.68E-03,1.93E-01,0.06,-1.25,9.29E-03,3.79E-01,0.04,0.07,4.82E-04,3.86E-02,1,1,2,0,0
MYNN,0.08,1.13,3.31E-03,1.74E-01,0.06,-0.43,1.36E-02,4.28E-01,1.56,0.07,4.98E-04,3.97E-02,1,1,2,0,0
RPL18A,0.10,4.52,4.68E-04,8.88E-02,0.03,8.52,9.64E-02,7.28E-01,4.00,0.07,4.70E-04,3.82E-02,1,0,1,0,0
TLE1,0.01,12.53,3.60E-01,7.49E-01,0.12,12.97,1.26E-04,6.38E-02,0.44,0.07,1.26E-04,1.82E-02,0,1,1,0,0
ATR,0.07,3.91,5.79E-03,2.04E-01,0.07,1.47,7.90E-03,3.64E-01,2.44,0.07,5.05E-04,4.01E-02,1,1,2,0,0
POU3F1,0.07,13.59,5.47E-03,2.02E-01,0.06,9.43,8.63E-03,3.71E-01,4.17,0.07,5.20E-04,4.05E-02,1,1,2,0,0
LYPLA2,0.07,12.05,5.49E-03,2.02E-01,0.06,13.70,8.71E-03,3.71E-01,1.65,0.07,5.26E-04,4.05E-02,1,1,2,0,0
SDC3,0.06,-4.50,8.35E-03,2.30E-01,0.07,-5.70,5.75E-03,3.26E-01,1.20,0.07,5.27E-04,4.05E-02,1,1,2,1,0
ZNF678,0.06,-2.71,8.05E-03,2.29E-01,0.07,-1.00,5.97E-03,3.30E-01,1.71,0.07,5.28E-04,4.05E-02,1,1,2,0,0
UNC80,0.09,5.43,9.21E-04,1.20E-01,0.04,6.50,5.02E-02,6.28E-01,1.07,0.07,5.10E-04,4.03E-02,1,1,2,0,0
RARS2,0.09,3.17,9.44E-04,1.21E-01,0.04,0.15,4.94E-02,6.24E-01,3.02,0.07,5.14E-04,4.05E-02,1,1,2,0,0
EXOC5,0.09,2.12,1.20E-03,1.32E-01,0.04,-0.80,3.97E-02,6.01E-01,2.92,0.07,5.24E-04,4.05E-02,1,1,2,0,0
KCTD12,0.04,-2.80,6.81E-02,4.46E-01,0.10,-6.30,7.00E-04,1.42E-01,3.50,0.07,5.24E-04,4.05E-02,1,1,2,0,0
SLC2A7,0.11,14.14,2.57E-04,6.74E-02,0.02,10.98,1.82E-01,8.23E-01,3.16,0.07,2.58E-04,2.83E-02,1,0,1,0,0
NCRNA00208,0.09,15.50,9.24E-04,1.20E-01,0.04,-3.32,5.33E-02,6.39E-01,5.18,0.07,5.40E-04,4.09E-02,1,1,2,0,0
PNRC2,0.06,13.15,8.92E-03,2.35E-01,0.07,15.90,5.58E-03,3.23E-01,2.74,0.07,5.45E-04,4.12E-02,1,1,2,0,0
PECAM1,0.07,-5.63,5.38E-03,2.00E-01,0.06,-6.17,9.37E-03,3.79E-01,0.55,0.07,5.51E-04,4.13E-02,1,1,2,0,0
AIF1,0.07,-3.79,6.24E-03,2.08E-01,0.06,-3.66,8.18E-03,3.64E-01,0.13,0.07,5.58E-04,4.15E-02,1,1,2,1,0
SLC43A3,0.09,-3.29,8.66E-04,1.18E-01,0.04,-5.91,5.87E-02,6.55E-01,2.62,0.07,5.56E-04,4.15E-02,1,1,2,0,0
MIR425,0.11,14.05,1.72E-04,5.43E-02,0.02,6.17,2.97E-01,8.84E-01,7.88,0.07,1.72E-04,2.21E-02,1,0,1,0,0
NAV1,0.01,-1.30,5.02E-01,8.25E-01,0.12,16.20,1.01E-04,6.38E-02,6.49,0.07,1.01E-04,1.67E-02,0,1,1,1,0
VPS13C,0.12,6.17,7.76E-05,3.27E-02,0.01,5.91,6.47E-01,9.70E-01,0.26,0.06,7.75E-05,1.40E-02,1,0,1,1,0
STRADB,0.09,0.79,1.57E-03,1.40E-01,0.05,0.37,3.29E-02,5.75E-01,0.42,0.07,5.63E-04,4.17E-02,1,1,2,0,0
RSPH1,0.06,4.20,1.72E-02,2.87E-01,0.08,3.84,3.04E-03,2.58E-01,0.37,0.07,5.69E-04,4.20E-02,1,1,2,0,0
CCDC148,0.10,2.42,4.31E-04,8.64E-02,0.03,1.78,1.22E-01,7.60E-01,0.64,0.07,4.33E-04,3.68E-02,1,0,1,0,0
DDX25,0.12,3.70,7.24E-05,3.23E-02,0.00,-0.04,7.26E-01,9.78E-01,3.75,0.06,7.21E-05,1.32E-02,1,0,1,0,0
KIAA0125,0.09,14.12,1.42E-03,1.38E-01,0.04,8.22,3.75E-02,5.94E-01,5.90,0.07,5.78E-04,4.25E-02,1,1,2,0,0
FAM135A,0.07,1.80,7.42E-03,2.19E-01,0.07,-0.53,7.39E-03,3.56E-01,2.34,0.07,5.96E-04,4.32E-02,1,1,2,0,0
RCL1,0.09,2.96,1.62E-03,1.41E-01,0.05,2.50,3.32E-02,5.76E-01,0.46,0.07,5.83E-04,4.27E-02,1,1,2,1,0
COG1,0.06,7.26,1.67E-02,2.85E-01,0.08,8.70,3.28E-03,2.66E-01,1.44,0.07,5.95E-04,4.32E-02,1,1,2,0,0
PPP2CB,0.09,4.53,9.02E-04,1.19E-01,0.04,2.10,6.01E-02,6.60E-01,2.44,0.07,5.89E-04,4.31E-02,1,1,2,0,0
PAPD4,0.10,3.15,4.06E-04,8.43E-02,0.03,-1.27,1.36E-01,7.79E-01,4.42,0.07,4.07E-04,3.57E-02,1,0,1,0,0
KRT80,0.11,15.27,2.27E-04,6.38E-02,0.02,10.79,2.38E-01,8.52E-01,4.48,0.07,2.28E-04,2.60E-02,1,0,1,0,0
CAPNS2,0.12,13.76,1.27E-04,4.51E-02,0.01,9.35,4.28E-01,9.27E-01,4.41,0.06,1.27E-04,1.82E-02,1,0,1,0,0
PTPDC1,0.11,1.87,1.80E-04,5.52E-02,0.02,-0.72,3.10E-01,8.88E-01,2.60,0.06,1.81E-04,2.25E-02,1,0,1,0,0
ISLR2,0.08,12.26,3.12E-03,1.71E-01,0.05,14.06,1.81E-02,4.77E-01,1.80,0.07,6.10E-04,4.39E-02,1,1,2,1,0
HERC5,0.06,-0.13,1.03E-02,2.45E-01,0.07,-0.43,5.62E-03,3.23E-01,0.31,0.07,6.26E-04,4.45E-02,1,1,2,0,0
SPATA2L,0.07,11.70,4.58E-03,1.93E-01,0.06,14.67,1.26E-02,4.15E-01,2.97,0.07,6.22E-04,4.45E-02,1,1,2,1,0
SNRNP40,0.10,2.36,7.13E-04,1.07E-01,0.03,-1.60,8.14E-02,7.07E-01,3.96,0.07,6.26E-04,4.45E-02,1,1,2,0,0
SH3GL3,0.09,5.00,1.52E-03,1.39E-01,0.04,5.47,3.89E-02,5.99E-01,0.47,0.07,6.37E-04,4.48E-02,1,1,2,1,0
PGS1,0.03,10.24,8.02E-02,4.69E-01,0.10,11.97,7.44E-04,1.44E-01,1.73,0.06,6.42E-04,4.50E-02,1,1,2,0,0
CAPN7,0.09,3.04,8.38E-04,1.17E-01,0.04,0.50,7.25E-02,6.89E-01,2.54,0.06,6.52E-04,4.52E-02,1,1,2,1,0
PAX8,0.12,14.77,9.53E-05,3.73E-02,0.01,-6.18,6.40E-01,9.70E-01,3.05,0.06,9.49E-05,1.60E-02,1,0,1,0,0
ASCL3,0.07,14.20,3.97E-03,1.85E-01,0.06,7.57,1.54E-02,4.46E-01,6.62,0.07,6.58E-04,4.52E-02,1,1,2,0,0
SRRT,0.07,13.41,5.10E-03,1.96E-01,0.06,14.98,1.23E-02,4.15E-01,1.57,0.07,6.69E-04,4.52E-02,1,1,2,0,0
RBM3,0.06,1.13,9.47E-03,2.39E-01,0.07,1.01,6.69E-03,3.39E-01,0.13,0.07,6.77E-04,4.52E-02,1,1,2,0,0
PTPRC,0.06,-2.40,1.61E-02,2.84E-01,0.07,-3.26,3.93E-03,2.84E-01,0.87,0.07,6.76E-04,4.52E-02,1,1,2,0,0
HECW2,0.05,2.63,1.85E-02,2.97E-01,0.08,1.09,3.43E-03,2.71E-01,1.54,0.07,6.78E-04,4.52E-02,1,1,2,1,0
TMED5,0.06,-1.46,1.62E-02,2.84E-01,0.07,15.75,3.95E-03,2.84E-01,6.79,0.06,6.83E-04,4.52E-02,1,1,2,0,0
PRKCH,0.06,13.39,1.09E-02,2.50E-01,0.07,-5.47,5.96E-03,3.30E-01,5.14,0.06,6.95E-04,4.52E-02,1,1,2,0,0
PRPF40A,0.05,3.31,2.64E-02,3.37E-01,0.08,0.06,2.47E-03,2.43E-01,3.25,0.06,6.95E-04,4.52E-02,1,1,2,0,0
MYH16,0.07,13.58,6.74E-03,2.12E-01,0.06,8.79,9.84E-03,3.89E-01,4.78,0.06,7.07E-04,4.52E-02,1,1,2,0,0
POLI,0.08,4.07,2.54E-03,1.63E-01,0.05,2.36,2.59E-02,5.36E-01,1.71,0.06,7.02E-04,4.52E-02,1,1,2,1,0
APOC2,0.09,-3.00,1.49E-03,1.39E-01,0.04,-3.15,4.47E-02,6.17E-01,0.14,0.06,7.07E-04,4.52E-02,1,1,2,1,0
UBR4,0.10,5.69,7.51E-04,1.11E-01,0.03,6.92,8.81E-02,7.16E-01,1.23,0.06,7.06E-04,4.52E-02,1,1,2,1,0
MTCP1,0.01,-1.16,4.64E-01,8.06E-01,0.12,-0.68,1.43E-04,6.67E-02,0.48,0.06,1.43E-04,1.97E-02,0,1,1,0,0
GCN1L1,0.00,-5.34,9.12E-01,9.73E-01,0.12,16.92,7.18E-05,5.01E-02,1.74,0.06,7.15E-05,1.32E-02,0,1,1,0,0
SNORD114-3,0.08,4.96,2.81E-03,1.68E-01,0.05,4.08,2.38E-02,5.28E-01,0.88,0.06,7.13E-04,4.54E-02,1,1,2,0,0
C9orf68,0.07,8.84,3.84E-03,1.83E-01,0.05,9.42,1.77E-02,4.76E-01,0.58,0.06,7.22E-04,4.57E-02,1,1,2,1,0
STAMBPL1,0.07,8.40,3.76E-03,1.82E-01,0.05,8.84,1.81E-02,4.77E-01,0.44,0.06,7.23E-04,4.57E-02,1,1,2,1,0
OR2S2,0.12,13.59,1.44E-04,4.93E-02,0.01,10.72,4.81E-01,9.39E-01,2.87,0.06,1.44E-04,1.97E-02,1,0,1,0,0
MARCH3,0.04,-3.11,6.17E-02,4.33E-01,0.09,16.17,1.14E-03,1.77E-01,4.72,0.06,7.46E-04,4.69E-02,1,1,2,0,0
SERAC1,0.04,7.73,5.56E-02,4.22E-01,0.09,8.96,1.28E-03,1.88E-01,1.23,0.06,7.54E-04,4.72E-02,1,1,2,0,0
TCERG1L,0.08,10.47,2.88E-03,1.69E-01,0.05,10.66,2.53E-02,5.34E-01,0.19,0.06,7.69E-04,4.80E-02,1,1,2,0,0
MKL1,0.02,12.23,2.09E-01,6.33E-01,0.10,12.67,3.48E-04,9.64E-02,0.44,0.06,3.49E-04,3.20E-02,0,1,1,0,0
RALGPS1,0.11,5.27,1.97E-04,5.88E-02,0.01,8.26,3.73E-01,9.10E-01,2.99,0.06,1.97E-04,2.35E-02,1,0,1,0,0
WIPI1,0.07,-0.80,4.96E-03,1.96E-01,0.06,-2.81,1.49E-02,4.40E-01,2.01,0.06,7.82E-04,4.86E-02,1,1,2,0,0
PHTF2,0.08,2.33,2.15E-03,1.55E-01,0.05,-1.52,3.48E-02,5.83E-01,3.86,0.06,7.88E-04,4.86E-02,1,1,2,0,0
DENND1B,0.03,0.30,8.32E-02,4.74E-01,0.09,1.10,9.14E-04,1.58E-01,0.81,0.06,8.00E-04,4.89E-02,1,1,2,1,0
SHISA6,0.05,-4.87,2.33E-02,3.23E-01,0.08,16.97,3.30E-03,2.66E-01,2.16,0.06,8.09E-04,4.93E-02,1,1,2,0,0
CPLX1,0.07,9.42,7.59E-03,2.21E-01,0.06,8.20,1.03E-02,3.96E-01,1.22,0.06,8.22E-04,4.99E-02,1,1,2,0,0
HCN2,0.08,7.71,2.11E-03,1.54E-01,0.04,9.54,3.73E-02,5.93E-01,1.82,0.06,8.25E-04,5.00E-02,1,1,2,0,0
OSBPL1A,0.07,4.83,4.76E-03,1.95E-01,0.06,2.60,1.68E-02,4.64E-01,2.23,0.06,8.35E-04,5.01E-02,1,1,2,0,0
C20orf117,0.04,13.18,7.01E-02,4.50E-01,0.09,12.50,1.14E-03,1.77E-01,0.68,0.06,8.33E-04,5.01E-02,1,1,2,0,0
FAM177A1,0.09,0.38,8.60E-04,1.18E-01,0.03,1.13,9.31E-02,7.23E-01,0.75,0.06,8.38E-04,5.01E-02,1,1,2,0,0
MNAT1,0.11,6.48,1.58E-04,5.14E-02,0.01,0.73,5.10E-01,9.45E-01,5.75,0.06,1.58E-04,2.08E-02,1,0,1,0,0
SFT2D2,0.08,-1.08,3.63E-03,1.80E-01,0.05,-3.51,2.27E-02,5.14E-01,2.44,0.06,8.59E-04,5.10E-02,1,1,2,0,0
C17orf56,0.08,10.00,2.16E-03,1.55E-01,0.04,11.44,3.84E-02,5.98E-01,1.44,0.06,8.65E-04,5.10E-02,1,1,2,0,0
CCNJL,0.08,-2.97,1.94E-03,1.51E-01,0.04,17.38,4.30E-02,6.14E-01,3.65,0.06,8.68E-04,5.11E-02,1,1,2,0,0
RAP2C,0.03,-6.32,1.25E-01,5.39E-01,0.10,-4.89,6.58E-04,1.41E-01,1.43,0.06,6.59E-04,4.52E-02,0,1,1,1,0
PAR5,0.02,4.59,3.38E-01,7.35E-01,0.11,3.26,2.46E-04,7.91E-02,1.33,0.06,2.48E-04,2.77E-02,0,1,1,1,0
ROGDI,0.07,8.53,6.51E-03,2.09E-01,0.06,11.27,1.29E-02,4.15E-01,2.74,0.06,8.75E-04,5.11E-02,1,1,2,0,0
ATXN1,0.05,10.25,2.37E-02,3.24E-01,0.08,10.22,3.56E-03,2.76E-01,0.03,0.06,8.76E-04,5.11E-02,1,1,2,0,0
SLC19A1,0.08,12.67,2.77E-03,1.68E-01,0.05,13.78,3.06E-02,5.66E-01,1.11,0.06,8.81E-04,5.11E-02,1,1,2,0,0
N4BP2L1,0.09,2.82,1.01E-03,1.26E-01,0.03,1.64,8.35E-02,7.10E-01,1.18,0.06,8.81E-04,5.11E-02,1,1,2,1,0
EVI5,0.08,3.35,1.98E-03,1.51E-01,0.04,2.17,4.33E-02,6.14E-01,1.18,0.06,8.90E-04,5.14E-02,1,1,2,0,0
BTG3,0.07,-1.74,5.09E-03,1.96E-01,0.06,-3.08,1.70E-02,4.64E-01,1.35,0.06,8.97E-04,5.15E-02,1,1,2,0,0
SULF2,0.02,13.86,2.53E-01,6.72E-01,0.11,15.25,3.41E-04,9.64E-02,1.39,0.06,3.42E-04,3.18E-02,0,1,1,0,0
C1QC,0.06,-3.95,1.66E-02,2.85E-01,0.07,-5.20,5.26E-03,3.14E-01,1.25,0.06,9.05E-04,5.17E-02,1,1,2,0,0
NFX1,0.07,3.29,6.71E-03,2.12E-01,0.06,2.05,1.32E-02,4.18E-01,1.24,0.06,9.16E-04,5.21E-02,1,1,2,0,0
GLMN,0.06,3.57,9.40E-03,2.38E-01,0.06,0.42,9.59E-03,3.83E-01,3.16,0.06,9.32E-04,5.29E-02,1,1,2,0,0
TMEM161B,0.06,1.41,1.03E-02,2.45E-01,0.06,-2.30,9.06E-03,3.76E-01,3.70,0.06,9.58E-04,5.38E-02,1,1,2,0,0
C8orf44,0.07,0.76,5.05E-03,1.96E-01,0.05,0.40,1.83E-02,4.79E-01,0.36,0.06,9.51E-04,5.36E-02,1,1,2,0,0
CHST8,0.10,14.78,5.33E-04,9.15E-02,0.02,12.77,1.74E-01,8.17E-01,2.01,0.06,5.35E-04,4.07E-02,1,0,1,0,0
FBXO4,0.01,2.31,5.08E-01,8.28E-01,0.11,0.99,1.82E-04,6.74E-02,1.32,0.06,1.82E-04,2.25E-02,0,1,1,0,0
SMAD1,0.03,-1.45,1.47E-01,5.68E-01,0.10,-3.95,6.33E-04,1.40E-01,2.50,0.06,6.35E-04,4.48E-02,0,1,1,0,0
LRRC20,0.06,8.48,1.16E-02,2.54E-01,0.06,10.58,8.07E-03,3.64E-01,2.10,0.06,9.68E-04,5.41E-02,1,1,2,0,0
ICA1L,0.08,3.35,3.49E-03,1.79E-01,0.05,1.14,2.70E-02,5.45E-01,2.21,0.06,9.70E-04,5.41E-02,1,1,2,0,0
DCLK3,0.05,-5.61,2.70E-02,3.40E-01,0.08,-4.15,3.57E-03,2.76E-01,1.47,0.06,9.90E-04,5.46E-02,1,1,2,1,0
CALCRL,0.04,0.07,4.35E-02,3.93E-01,0.08,-1.28,2.22E-03,2.40E-01,1.35,0.06,9.90E-04,5.46E-02,1,1,2,0,0
PRAMEF4,0.12,15.32,1.19E-04,4.37E-02,0.00,10.45,8.15E-01,9.87E-01,4.87,0.06,1.18E-04,1.79E-02,1,0,1,0,0
PEBP4,0.08,-6.18,2.47E-03,1.61E-01,0.04,-3.79,3.93E-02,6.00E-01,2.40,0.06,9.98E-04,5.47E-02,1,1,2,0,0
C12orf45,0.10,7.17,4.48E-04,8.80E-02,0.02,6.00,2.21E-01,8.45E-01,1.17,0.06,4.49E-04,3.75E-02,1,0,1,0,0
B4GALT1,0.08,-4.47,2.32E-03,1.58E-01,0.04,-2.79,4.34E-02,6.14E-01,1.68,0.06,1.03E-03,5.60E-02,1,1,2,0,0
CREBBP,0.01,12.05,4.42E-01,7.95E-01,0.11,13.71,2.28E-04,7.56E-02,1.66,0.06,2.29E-04,2.60E-02,0,1,1,0,0
ZBTB24,0.07,3.07,4.04E-03,1.86E-01,0.05,1.00,2.52E-02,5.34E-01,2.07,0.06,1.04E-03,5.62E-02,1,1,2,0,0
GLP1R,0.00,-2.87,8.88E-01,9.67E-01,0.12,13.31,1.14E-04,6.38E-02,7.81,0.06,1.14E-04,1.76E-02,0,1,1,0,0
MMP17,0.06,14.25,1.28E-02,2.64E-01,0.06,13.89,8.17E-03,3.64E-01,0.36,0.06,1.07E-03,5.65E-02,1,1,2,1,0
IGSF6,0.08,-2.93,2.73E-03,1.68E-01,0.04,-3.57,3.85E-02,5.98E-01,0.64,0.06,1.07E-03,5.65E-02,1,1,2,1,0
HIVEP3,0.04,11.43,7.53E-02,4.59E-01,0.09,13.32,1.39E-03,1.95E-01,1.89,0.06,1.07E-03,5.65E-02,1,1,2,1,0
NKX2-4,0.09,12.85,1.08E-03,1.28E-01,0.03,8.62,9.69E-02,7.28E-01,4.22,0.06,1.06E-03,5.65E-02,1,1,2,0,0
ASAP1,0.05,17.24,2.69E-02,3.39E-01,0.07,17.06,3.96E-03,2.84E-01,0.18,0.06,1.08E-03,5.68E-02,1,1,2,1,0
TRPC1,0.08,4.16,2.93E-03,1.70E-01,0.04,-0.84,3.70E-02,5.92E-01,5.00,0.06,1.10E-03,5.73E-02,1,1,2,0,0
UBE2J1,0.06,-1.45,1.33E-02,2.68E-01,0.06,-1.62,8.19E-03,3.64E-01,0.17,0.06,1.11E-03,5.76E-02,1,1,2,1,0
TLR7,0.08,-2.25,2.35E-03,1.58E-01,0.04,-2.24,4.66E-02,6.20E-01,0.01,0.06,1.11E-03,5.76E-02,1,1,2,1,0
SPPL2A,0.06,0.31,1.11E-02,2.51E-01,0.06,-2.62,9.92E-03,3.89E-01,2.93,0.06,1.12E-03,5.80E-02,1,1,2,0,0
ADRBK2,0.04,4.90,3.71E-02,3.70E-01,0.08,3.26,3.00E-03,2.58E-01,1.64,0.06,1.13E-03,5.80E-02,1,1,2,0,0
GZMA,0.06,16.92,1.12E-02,2.52E-01,0.06,0.10,1.01E-02,3.93E-01,7.19,0.06,1.15E-03,5.84E-02,1,1,2,0,0
RIMS4,0.04,16.09,6.00E-02,4.29E-01,0.08,14.80,1.90E-03,2.34E-01,1.29,0.06,1.15E-03,5.84E-02,1,1,2,1,0
PAN3,0.10,4.79,6.22E-04,1.02E-01,0.02,0.55,1.83E-01,8.23E-01,4.25,0.06,6.24E-04,4.45E-02,1,0,1,0,0
C2orf67,0.11,3.46,3.08E-04,7.24E-02,0.01,3.98,3.76E-01,9.12E-01,0.52,0.06,3.09E-04,3.02E-02,1,0,1,1,0
SNORA60,0.06,8.12,9.95E-03,2.42E-01,0.06,8.17,1.17E-02,4.11E-01,0.05,0.06,1.17E-03,5.88E-02,1,1,2,0,0
TNFSF13B,0.08,1.61,3.01E-03,1.70E-01,0.04,-1.25,3.90E-02,5.99E-01,2.87,0.06,1.18E-03,5.92E-02,1,1,2,1,0
C11orf95,0.10,12.18,6.50E-04,1.04E-01,0.02,11.01,1.82E-01,8.23E-01,1.18,0.06,6.52E-04,4.52E-02,1,0,1,0,0
ESPL1,0.06,15.29,8.96E-03,2.36E-01,0.06,11.90,1.33E-02,4.20E-01,3.39,0.06,1.20E-03,5.95E-02,1,1,2,0,0
FCHO2,0.05,2.40,1.98E-02,3.06E-01,0.07,-0.94,6.16E-03,3.33E-01,3.35,0.06,1.22E-03,5.98E-02,1,1,2,0,0
CXCL16,0.07,-3.12,7.15E-03,2.16E-01,0.06,-4.32,1.72E-02,4.67E-01,1.20,0.06,1.23E-03,5.98E-02,1,1,2,0,0
TPD52,0.07,4.99,4.62E-03,1.93E-01,0.05,3.69,2.66E-02,5.40E-01,1.30,0.06,1.23E-03,5.98E-02,1,1,2,1,0
HAS1,0.08,11.51,2.56E-03,1.63E-01,0.04,11.76,4.73E-02,6.21E-01,0.24,0.06,1.21E-03,5.98E-02,1,1,2,0,0
EPS15L1,0.04,8.23,5.11E-02,4.11E-01,0.08,10.20,2.40E-03,2.43E-01,1.97,0.06,1.23E-03,5.98E-02,1,1,2,0,0
SEC14L5,0.11,4.28,2.15E-04,6.21E-02,0.01,6.50,5.65E-01,9.55E-01,2.22,0.06,2.15E-04,2.47E-02,1,0,1,1,0
