Gene,BA11.R2,BA11.Peak,BA11.Pval,BA11.qval,BA47.R2,BA47.Peak,BA47.Pval,BA47.qval,Diff.Peak,Avg.R2,Combined.Pval,Combined.qval,BA11.weight,BA47.weight,Both.weight,Age.genes,Sex.genes
FABP2,0.01,-3.93,4.92E-01,8.21E-01,0.01,10.67,3.91E-01,9.15E-01,9.40,0.01,3.94E-01,5.74E-01,0,1,1,0,0
RG9MTD1,0.01,1.17,4.31E-01,7.90E-01,0.01,1.72,4.47E-01,9.31E-01,0.55,0.01,4.35E-01,6.01E-01,1,0,1,0,0
SEMA3G,0.02,-6.43,3.29E-01,7.29E-01,0.01,-3.23,5.86E-01,9.60E-01,3.21,0.01,3.29E-01,5.34E-01,1,0,1,0,0
AKAP13,0.01,9.28,4.93E-01,8.21E-01,0.01,17.47,3.91E-01,9.15E-01,8.18,0.01,3.93E-01,5.74E-01,0,1,1,0,0
SMG6,0.02,4.89,2.84E-01,6.93E-01,0.01,-4.15,6.80E-01,9.73E-01,9.04,0.01,2.84E-01,5.00E-01,1,0,1,1,0
MED19,0.00,9.47,7.75E-01,9.33E-01,0.02,17.38,2.49E-01,8.60E-01,7.90,0.01,2.49E-01,4.77E-01,0,1,1,0,0
FGF2,0.00,0.08,8.41E-01,9.54E-01,0.02,-4.51,2.29E-01,8.48E-01,4.59,0.01,2.29E-01,4.62E-01,0,1,1,0,0
PDZD11,0.02,-3.38,2.21E-01,6.45E-01,0.00,14.62,8.72E-01,9.91E-01,6.00,0.01,2.21E-01,4.55E-01,1,0,1,0,0
LOC100129484,0.02,12.63,2.26E-01,6.50E-01,0.00,16.12,8.53E-01,9.91E-01,3.48,0.01,2.26E-01,4.60E-01,1,0,1,0,0
FUBP3,0.02,5.72,1.95E-01,6.20E-01,0.00,4.20,9.91E-01,9.99E-01,1.51,0.01,1.95E-01,4.36E-01,1,0,1,1,0
TNMD,0.02,-6.33,2.35E-01,6.55E-01,0.00,5.44,8.23E-01,9.87E-01,11.77,0.01,2.35E-01,4.65E-01,1,0,1,0,0
C1orf97,0.01,2.74,4.92E-01,8.21E-01,0.01,3.35,3.92E-01,9.15E-01,0.61,0.01,3.94E-01,5.74E-01,0,1,1,0,0
TBC1D3F,0.01,9.60,4.62E-01,8.06E-01,0.01,9.62,4.18E-01,9.24E-01,0.01,0.01,4.21E-01,5.92E-01,0,1,1,0,0
SMARCD2,0.01,12.02,3.63E-01,7.51E-01,0.01,0.03,5.31E-01,9.49E-01,11.99,0.01,3.65E-01,5.55E-01,1,0,1,1,0
GPA33,0.01,13.59,3.44E-01,7.40E-01,0.01,-2.41,5.61E-01,9.55E-01,8.00,0.01,3.45E-01,5.44E-01,1,0,1,0,0
IVL,0.00,-6.10,7.20E-01,9.12E-01,0.02,15.77,2.68E-01,8.68E-01,2.12,0.01,2.68E-01,4.90E-01,0,1,1,0,0
SCARNA6,0.02,8.99,2.71E-01,6.85E-01,0.00,9.08,7.11E-01,9.76E-01,0.09,0.01,2.71E-01,4.92E-01,1,0,1,0,0
PDCD11,0.02,9.51,2.38E-01,6.58E-01,0.00,15.82,8.11E-01,9.86E-01,6.31,0.01,2.38E-01,4.68E-01,1,0,1,0,0
PPP1R2P1,0.01,0.20,6.26E-01,8.78E-01,0.02,2.81,3.09E-01,8.87E-01,2.62,0.01,3.09E-01,5.19E-01,0,1,1,0,0
GUCY2C,0.01,17.25,3.43E-01,7.39E-01,0.01,10.08,5.64E-01,9.55E-01,7.16,0.01,3.43E-01,5.43E-01,1,0,1,0,0
DYNLT3,0.01,6.70,4.23E-01,7.86E-01,0.01,6.04,4.57E-01,9.34E-01,0.65,0.01,4.26E-01,5.96E-01,1,0,1,0,0
CNGB1,0.02,8.73,3.17E-01,7.20E-01,0.01,10.11,6.11E-01,9.63E-01,1.39,0.01,3.17E-01,5.25E-01,1,0,1,0,0
TMEM44,0.02,17.33,3.01E-01,7.09E-01,0.01,17.04,6.43E-01,9.70E-01,0.29,0.01,3.01E-01,5.13E-01,1,0,1,0,0
RSPH10B,0.02,-0.75,2.39E-01,6.58E-01,0.00,2.29,8.11E-01,9.86E-01,3.04,0.01,2.39E-01,4.68E-01,1,0,1,0,0
IDH2,0.01,-1.03,3.53E-01,7.45E-01,0.01,-4.58,5.49E-01,9.53E-01,3.54,0.01,3.53E-01,5.49E-01,1,0,1,1,0
CCBE1,0.02,-1.62,2.17E-01,6.41E-01,0.00,4.35,8.92E-01,9.95E-01,5.97,0.01,2.17E-01,4.52E-01,1,0,1,0,0
HIST1H2BB,0.01,16.39,4.22E-01,7.85E-01,0.01,4.25,4.59E-01,9.35E-01,11.87,0.01,4.25E-01,5.95E-01,1,0,1,0,0
NEIL3,0.02,-5.72,3.14E-01,7.18E-01,0.01,7.62,6.16E-01,9.64E-01,10.66,0.01,3.15E-01,5.23E-01,1,0,1,0,0
C12orf5,0.01,1.13,4.74E-01,8.11E-01,0.01,-5.33,4.08E-01,9.20E-01,6.46,0.01,4.11E-01,5.87E-01,0,1,1,1,0
RNF166,0.01,13.60,4.97E-01,8.23E-01,0.01,17.38,3.90E-01,9.15E-01,3.78,0.01,3.92E-01,5.74E-01,0,1,1,0,0
DYDC2,0.01,-6.30,4.49E-01,7.98E-01,0.01,11.83,4.31E-01,9.28E-01,5.88,0.01,4.35E-01,6.02E-01,0,1,1,1,0
DNAJC10,0.01,-0.66,5.25E-01,8.35E-01,0.01,0.23,3.69E-01,9.10E-01,0.89,0.01,3.71E-01,5.59E-01,0,1,1,0,0
MED11,0.01,1.28,3.98E-01,7.73E-01,0.01,13.92,4.87E-01,9.40E-01,11.36,0.01,4.00E-01,5.79E-01,1,0,1,0,0
RPL10A,0.01,6.30,3.63E-01,7.51E-01,0.01,13.43,5.33E-01,9.49E-01,7.13,0.01,3.65E-01,5.55E-01,1,0,1,0,0
