,full_df_name,model,best_parameters,MSE,MAE,MAPE,RMSE,SMAPE
1121,BA11 Overall_70:30_Log_KPCA_90,Voting Regressor,"{'rf__n_estimators': 10, 'gb__n_estimators': 10}",0.2575623838142975,0.3023022837503753,0.5050945484223421,0.5075060431308158,14.89193621709185
1122,BA11 Overall_70:30_Log_KPCA_95,Voting Regressor,"{'rf__n_estimators': 50, 'gb__n_estimators': 10}",0.2885605667042986,0.3304028583229651,0.5334878688339204,0.5371783378956179,16.0418349791541
1123,BA11 Overall_70:30_Log_KPCA_90,Stacking Regressor,{'final_estimator': RandomForestRegressor(random_state=42)},0.4178724183585448,0.4058252463807215,0.58072123408773,0.6464305209058007,18.95069612124533
1124,BA11 Overall_70:30_Log_KPCA_95,Stacking Regressor,{'final_estimator': GradientBoostingRegressor(random_state=42)},0.4276632122417183,0.4094480684927883,0.5989781223838148,0.6539596411413462,18.81375598613045
1125,BA11 Overall_70:30_Log_KPCA_90,Gradient Boosting Regressor,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 10, 'min_impurity_decrease': 0, 'max_leaf_nodes': 5, 'max_features': 'log2', 'max_depth': 30, 'learning_rate': 0.1}",0.295551304073868,0.3465945326687875,0.5154612908514534,0.5436463042032642,16.73959302691969
1126,BA11 Overall_70:30_Log_KPCA_95,Gradient Boosting Regressor,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 10, 'min_impurity_decrease': 0, 'max_leaf_nodes': 5, 'max_features': 'log2', 'max_depth': 30, 'learning_rate': 0.1}",0.4067793717671044,0.4240318203189063,0.5961319087746125,0.6377925773847674,19.69737459461931
1127,BA11 Overall_70:30_Log_KPCA_90,Random Forest Regressor,"{'n_estimators': 10, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_depth': 10}",0.3190377835565756,0.3499418270010854,0.5644714574600254,0.5648342974329512,16.79538584800943
1128,BA11 Overall_70:30_Log_KPCA_95,Random Forest Regressor,"{'n_estimators': 10, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_depth': 10}",0.3146816518556547,0.3443781386747718,0.564190442750749,0.560964929256415,16.61616474632853
1129,BA11 Overall_70:30_Log_KPCA_90,BaggingRegressor,"{'n_estimators': 80, 'max_samples': 0.7000000000000001, 'max_features': 0.1}",0.3685796462251531,0.3885975273170761,0.5522739362712455,0.6071076067923652,18.22384690096301
1130,BA11 Overall_70:30_Log_KPCA_95,BaggingRegressor,"{'n_estimators': 80, 'max_samples': 0.7000000000000001, 'max_features': 0.1}",0.3562433233158651,0.3830914868524481,0.5692255516519555,0.5968612261789713,18.00048203840509
1131,BA11 Overall_70:30_Log_KPCA_90,ExtraTreesRegressor,"{'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_depth': 10}",0.2875655170058027,0.3101399531431942,0.5231189107556539,0.5362513561808517,15.29680496180978
1132,BA11 Overall_70:30_Log_KPCA_95,ExtraTreesRegressor,"{'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_depth': 10}",0.296724019141262,0.3214099813241588,0.5358865575399044,0.544723800784638,15.72321369062278
1133,BA11 Overall_70:30_Log_KPCA_90,XGBoost Regressor,"{'subsample': 0.7, 'reg_lambda': 0.1, 'reg_alpha': 0.1, 'n_estimators': 100, 'min_child_weight': 1, 'max_depth': 9, 'learning_rate': 0.3, 'gamma': 0.3, 'colsample_bytree': 0.8}",0.2940780945404577,0.3353551508532006,0.5245459368582044,0.5422896777004498,16.25987891083752
1134,BA11 Overall_70:30_Log_KPCA_95,XGBoost Regressor,"{'subsample': 0.7, 'reg_lambda': 0.1, 'reg_alpha': 0.1, 'n_estimators': 100, 'min_child_weight': 1, 'max_depth': 9, 'learning_rate': 0.3, 'gamma': 0.3, 'colsample_bytree': 0.8}",0.3005943551379958,0.344381820913895,0.5403321060951087,0.548264858565635,16.56658016638202
1135,BA11 Overall_70:30_Log_KPCA_90,Multilayer Perceptron,"{'module__num_units': 10, 'module__activation_func': ReLU(), 'lr': 0.1}",0.42515728,0.40393138,0.581213,0.6520408566770711,18.66681575775146
1136,BA11 Overall_70:30_Log_KPCA_95,Multilayer Perceptron,"{'module__num_units': 10, 'module__activation_func': ReLU(), 'lr': 0.1}",20.685581,4.4411473,2.0778873,4.548140412000865,199.251914024353
1137,BA11 Overall_70:30_Log_KPCA_90,Long Short-Term Memory Network,"{'module__num_layers': 1, 'module__hidden_size': 25, 'max_epochs': 20, 'lr': 0.1, 'batch_size': 16}",0.21444067,0.33909455,0.17123593,0.4630773948161434,17.06190854310989
1138,BA11 Overall_70:30_Log_KPCA_95,Long Short-Term Memory Network,"{'module__num_layers': 1, 'module__hidden_size': 25, 'max_epochs': 20, 'lr': 0.1, 'batch_size': 16}",0.20535882,0.26772842,0.1579729,0.4531653320515686,15.61587750911713
1139,BA11 Overall_70:30_Log_KPCA_90,Convolutional neural network,{},1.6558597,1.0108876,0.7385214,1.286802124953954,42.71681308746338
1140,BA11 Overall_70:30_Log_KPCA_95,Convolutional neural network,{},0.99134123,0.7306413,0.67405623,0.9956612040515984,30.14618754386902
1141,BA11 Overall_60:40_Log_KPCA_90,Linear Regressor,{},0.1960912724530271,0.3184881205582272,0.432644090589835,0.4428219421539848,15.69572929145428
1142,BA11 Overall_60:40_Log_KPCA_95,Linear Regressor,{},0.1931980752359565,0.3001605587319769,0.4527120094199768,0.4395430300163529,14.80395344519196
1143,BA11 Overall_60:40_Log_KPCA_90,Support Vector Regressor,"{'kernel': 'rbf', 'gamma': 0.0001, 'C': 1}",0.2648692568779845,0.2771103243170319,0.5207862223301079,0.5146545024363282,13.63434177946888
1144,BA11 Overall_60:40_Log_KPCA_95,Support Vector Regressor,"{'kernel': 'rbf', 'gamma': 0.0001, 'C': 1}",0.2726265960832436,0.2768227415949424,0.5240688600076774,0.5221365684217526,13.62454998966353
1145,BA11 Overall_60:40_Log_KPCA_90,Decision Tree Regressor,"{'splitter': 'best', 'min_samples_split': 5, 'min_samples_leaf': 2, 'min_impurity_decrease': 1.0, 'max_leaf_nodes': 50, 'max_features': 'auto', 'max_depth': 32, 'criterion': 'mae', 'ccp_alpha': 1.0}",0.3758440091398778,0.3839224792546209,0.5743909463469594,0.6130611789535183,17.59114034498628
1146,BA11 Overall_60:40_Log_KPCA_95,Decision Tree Regressor,"{'splitter': 'best', 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 0.1, 'max_leaf_nodes': 10, 'max_features': 'sqrt', 'max_depth': 7, 'criterion': 'friedman_mse', 'ccp_alpha': 0.0}",0.5455962256429555,0.4814175700220568,0.5263302490247753,0.7386448575891905,24.31127331529514
1147,BA11 Overall_60:40_Log_KPCA_90,K-Neighbors Regressor,"{'weights': 'uniform', 'n_neighbors': 1}",0.2303921805489369,0.2689643809913059,0.4913015070164716,0.4799918546693651,13.42059162161505
1148,BA11 Overall_60:40_Log_KPCA_95,K-Neighbors Regressor,"{'weights': 'distance', 'n_neighbors': 1}",0.229226028401536,0.2659022210841539,0.4902825492156232,0.4787755511735493,13.31075804286955
1149,BA11 Overall_60:40_Log_KPCA_90,Stochastic Gradient Descent Regressor,"{'tol': 1e-05, 'power_t': 0.75, 'penalty': 'l1', 'max_iter': 1000, 'loss': 'huber', 'learning_rate': 'invscaling', 'l1_ratio': 0, 'fit_intercept': True, 'eta0': 0.01, 'alpha': 0.01}",6.793318975209331,2.540238261755471,1.001686357463615,2.606399619246698,186.6731760700575
1150,BA11 Overall_60:40_Log_KPCA_95,Stochastic Gradient Descent Regressor,"{'tol': 0.0001, 'power_t': 0.25, 'penalty': 'elasticnet', 'max_iter': 2000, 'loss': 'huber', 'learning_rate': 'optimal', 'l1_ratio': 0.15, 'fit_intercept': False, 'eta0': 0.01, 'alpha': 0.01}",6.690069668011385,2.519801109139137,1.0,2.586516898845121,200.0
1151,BA11 Overall_60:40_Log_KPCA_90,Voting Regressor,"{'rf__n_estimators': 10, 'gb__n_estimators': 100}",0.2514613754444603,0.3219807312072585,0.4537989683927148,0.5014592460454392,15.99935109253514
1152,BA11 Overall_60:40_Log_KPCA_95,Voting Regressor,"{'rf__n_estimators': 50, 'gb__n_estimators': 200}",0.2948118957532884,0.3374512440146586,0.4732720257199672,0.5429658329520269,17.04521043196181
1153,BA11 Overall_60:40_Log_KPCA_90,Stacking Regressor,{'final_estimator': GradientBoostingRegressor(random_state=42)},0.5276500897644273,0.4793784241443416,0.5921080688210575,0.7263952710228965,21.79963560541703
1154,BA11 Overall_60:40_Log_KPCA_95,Stacking Regressor,{'final_estimator': LinearSVR(random_state=42)},0.2481108454627373,0.2891045377933064,0.5046919836789808,0.4981072630094218,14.10809508248458
